Frame,SimTime(ms),RenderTime(ms),MemcpyTime(ms),TotalFrame(ms),FPS
880,0.0613,0.0430,1.6083,8.0722,123.8820
890,0.0573,0.0389,0.4642,6.7684,147.7454
900,0.1693,0.0627,0.7955,6.6098,151.2905
910,0.2765,0.1065,0.4991,5.9697,167.5126
920,0.1426,0.0492,0.4480,7.7732,128.6471
930,0.1024,0.0653,1.0274,8.1144,123.2377
940,0.0778,0.1638,0.6978,6.3371,157.8009
950,0.1007,0.0588,0.6089,5.8073,172.1971
960,0.0993,0.0516,0.7085,6.7740,147.6233
970,0.0451,0.0776,0.5853,8.3313,120.0293
980,0.0451,0.1635,0.7155,5.0947,196.2824
990,0.0443,0.1475,0.8666,6.9588,143.7029
1000,0.0451,0.0484,0.4641,2.7322,366.0054
1010,0.0450,0.0563,0.5830,7.4390,134.4267
1020,0.0451,0.0574,0.7301,7.2948,137.0840
1030,0.1475,0.2419,1.4449,6.3453,157.5970
1040,0.1331,0.1802,1.3804,7.1616,139.6336
1050,0.1329,0.1802,1.8069,7.0543,141.7575
1060,0.0312,0.0450,0.5287,7.2835,137.2966
1070,0.6112,0.0655,0.8268,7.0315,142.2172
1080,0.0326,0.0424,0.5737,6.9309,144.2814
1090,0.0314,0.2908,0.7253,7.2148,138.6040
1100,0.0316,0.0469,0.6280,6.8498,145.9897
1110,0.0316,0.0387,0.5035,7.0747,141.3488
1120,0.0321,0.0409,0.6342,7.2383,138.1540
