Frame,SimTime(ms),RenderTime(ms),MemcpyTime(ms),TotalFrame(ms),FPS
0,2.7860,0.3028,2.0645,18.9003,52.9092
10,0.0294,0.0348,0.7652,7.1746,139.3806
20,0.5264,0.0362,0.6128,8.6682,115.3642
30,0.0287,0.1350,0.4707,6.3936,156.4064
40,0.0287,0.0421,0.4968,5.3055,188.4836
50,0.0287,0.0410,0.5426,6.9614,143.6493
60,0.0287,0.0389,0.7531,6.9968,142.9225
70,0.0582,0.0367,0.9988,7.2039,138.8137
80,0.0307,0.0662,0.9334,6.8077,146.8925
90,0.0307,0.0554,0.7446,7.7019,129.8381
100,0.0307,0.0415,0.7156,8.0151,124.7645
110,0.0389,0.0347,0.9924,7.0980,140.8848
120,0.0329,0.0430,0.7024,6.7011,149.2292
130,0.0325,0.0446,0.6452,6.5914,151.7128
140,0.0331,0.0431,0.5466,6.8763,145.4270
150,0.0532,0.0493,0.7001,6.8453,146.0856
160,0.0340,0.0388,0.5130,6.3942,156.3917
170,0.0594,0.0520,0.7144,8.8737,112.6926
180,0.0348,0.1788,0.6727,6.6992,149.2715
190,0.0389,0.0778,0.8178,4.7678,209.7403
200,0.0353,0.0366,0.5284,8.6763,115.2565
210,0.0593,0.0517,0.8617,6.8011,147.0350
220,0.0365,0.0361,0.7279,6.8486,146.0152
230,0.0367,0.0469,0.7559,7.0479,141.8862
240,0.0363,0.0450,0.7024,6.8909,145.1189
250,0.0655,0.0523,0.7550,7.3203,136.6064
260,0.0356,0.0431,0.7842,6.7846,147.3926
270,0.0350,0.0469,0.5904,6.8975,144.9801
280,0.0348,0.0430,0.5973,6.9381,144.1317
290,0.0335,0.0433,0.6563,6.9107,144.7031
300,0.0333,0.0428,0.6064,7.0545,141.7535
310,0.0343,0.0440,0.6791,7.2207,138.4907
320,0.0333,0.0430,0.5947,7.8295,127.7221
330,0.0327,0.0440,1.0918,6.8570,145.8364
340,0.0328,0.0430,0.5485,6.9545,143.7918
350,0.0325,0.0362,0.6085,7.1007,140.8312
360,0.0328,0.0410,0.9025,6.9391,144.1109
370,0.1864,0.1065,0.6597,6.7563,148.0100
380,0.1560,0.0840,0.5726,3.9577,252.6720
390,0.0328,0.0448,0.6487,7.1814,139.2486
400,0.0328,0.1249,0.5729,6.9310,144.2793
410,0.0735,0.0834,1.4087,7.0007,142.8429
420,0.0736,0.1103,0.5708,6.9691,143.4906
430,0.0778,0.1994,0.5763,6.8427,146.1411
440,0.0328,0.2171,0.5414,7.0091,142.6717
450,0.0332,0.1741,0.7557,6.5899,151.7474
460,0.0990,0.1687,0.5897,6.9430,144.0300
470,0.1004,0.2619,0.5779,6.7021,149.2070
480,0.0676,0.0942,0.4881,6.6327,150.7682
490,0.0346,0.0420,0.5558,6.7701,147.7083
500,0.0329,0.1120,0.5127,6.8816,145.3150
510,0.0328,0.0443,0.6741,6.9000,144.9275
520,0.0363,0.0505,0.7582,6.3911,156.4676
530,0.0326,0.0389,0.4596,7.1916,139.0511
540,0.0326,0.0449,0.6575,6.9934,142.9920
550,0.0328,0.0430,0.5970,6.9920,143.0206
560,0.1902,0.0676,0.7021,6.9263,144.3772
570,0.0316,0.0389,0.5767,6.2139,160.9295
580,0.0321,0.0430,0.7092,6.8195,146.6383
590,0.0501,0.0529,0.6361,6.9976,142.9061
600,0.1004,0.0439,0.5635,5.2353,191.0110
610,0.0835,0.0435,0.5746,7.2917,137.1422
620,0.0451,0.0430,0.7284,6.9088,144.7429
630,0.0768,0.0433,0.6175,6.6125,151.2287
640,0.0546,0.1274,0.6529,7.2010,138.8696
650,0.1126,0.0444,0.7287,6.8112,146.8170
660,0.0522,0.0434,0.6076,7.1857,139.1653
670,0.0877,0.1626,0.6310,7.2270,138.3700
680,0.0957,0.0449,0.7209,6.7724,147.6581
690,0.0756,0.0430,0.7362,6.9160,144.5923
700,0.0733,0.1134,0.7253,7.1869,139.1420
710,0.0707,0.0419,0.7626,7.0519,141.8058
720,0.0761,0.0426,0.6237,7.3155,136.6961
730,0.0410,0.0371,0.4462,7.4750,133.7793
740,0.1076,0.0449,0.5532,6.2473,160.0692
750,0.0548,0.0618,0.7059,6.8425,146.1454
760,0.0451,0.0435,1.5134,7.2727,137.5005
770,0.0328,0.3363,0.6253,6.9303,144.2939
780,0.0429,0.0410,0.7141,6.9274,144.3543
790,0.0614,0.0429,0.5931,6.9847,143.1701
800,0.0341,0.0427,0.8845,6.7266,148.6635
810,0.0568,0.1499,0.6165,6.8808,145.3319
820,0.0343,0.0432,0.6095,6.9286,144.3293
830,0.0486,0.0410,0.8988,5.0141,199.4376
840,0.0553,0.1255,0.5554,5.6519,176.9317
850,0.1349,0.0648,0.8870,9.3402,107.0641
860,0.0614,0.0428,0.7473,7.2815,137.3344
870,0.0674,0.0366,0.5210,6.2004,161.2799
