Frame,SimTime(ms),RenderTime(ms),MemcpyTime(ms),TotalFrame(ms),FPS
660,0.0347,0.0881,0.6929,7.5163,133.0442
670,0.0307,0.0364,0.9416,6.5000,153.8462
680,0.0524,0.0430,0.6082,7.3990,135.1534
690,0.0307,0.0429,0.6631,7.1755,139.3631
700,0.5563,0.0383,0.6766,7.2274,138.3624
710,0.0310,0.0357,0.4991,6.8411,146.1753
720,0.0294,0.0396,0.4876,4.7420,210.8815
730,0.0307,0.0410,0.5526,11.5410,86.6476
740,0.0306,0.0350,0.4970,7.0600,141.6431
750,0.2095,0.0589,0.4467,6.3683,157.0278
760,0.2040,0.0490,0.6897,7.1091,140.6648
770,0.0310,0.0361,0.5773,7.5472,132.4995
780,0.0320,0.0381,0.6181,7.4365,134.4719
790,0.0325,0.0355,0.5358,3.9997,250.0188
800,0.0316,0.0351,0.6336,7.2183,138.5368
810,0.0328,0.0352,0.5168,7.2522,137.8892
820,0.0328,0.0369,0.4490,6.7013,149.2248
830,0.0323,0.0354,0.7339,7.1734,139.4039
840,0.0329,0.0356,0.7167,7.9610,125.6124
850,0.0328,0.0437,0.9470,6.9263,144.3772
860,0.0930,0.0534,0.5144,7.1625,139.6161
870,0.0459,0.0549,0.6574,4.3958,227.4899
880,0.0473,0.0498,0.8313,6.1639,162.2350
890,0.0473,0.0532,0.5226,3.8601,259.0606
900,0.0490,0.0533,0.5372,7.6882,130.0695
910,0.0483,0.0521,0.6401,8.6397,115.7448
920,0.1462,0.1905,1.8964,6.5566,152.5181
930,0.1437,0.1907,1.4303,7.0464,141.9164
940,0.1434,0.1900,1.5013,6.8199,146.6297
950,0.0343,0.0355,1.2068,8.6870,115.1145
960,0.0340,0.0353,0.6181,7.5304,132.7951
970,0.0366,0.4485,0.6321,6.8773,145.4059
980,0.0778,0.0636,0.7717,7.1462,139.9345
990,0.5800,0.0373,0.6165,6.6245,150.9548
1000,0.0348,0.0364,0.6939,7.3013,136.9619
1010,0.0329,0.0348,0.6850,6.1600,162.3377
1020,0.0330,0.0367,0.8794,7.3268,136.4852
1030,0.0328,0.0392,0.6687,6.0371,165.6425
1040,0.0513,0.0444,0.5252,7.5199,132.9805
1050,0.0326,0.0419,0.8569,7.0034,142.7878
1060,0.0328,0.0389,0.5403,6.7976,147.1107
1070,0.0328,0.0420,0.5952,6.8432,146.1305
1080,0.0331,0.0369,0.6793,7.2363,138.1922
1090,0.1412,0.0910,0.6683,114.6532,8.7220
