Frame,SimTime(ms),RenderTime(ms),MemcpyTime(ms),TotalFrame(ms),FPS
0,1.4316,0.0819,0.6688,8.3141,120.2776
10,0.0307,0.0372,0.4368,7.7674,128.7432
20,0.0307,0.0429,0.5906,7.1433,139.9913
30,0.0313,0.0369,0.6139,6.1879,161.6057
40,0.0307,0.0525,0.7902,6.3861,156.5901
50,0.5550,0.0348,0.6802,6.8413,146.1711
60,0.0313,0.0356,0.9953,7.2824,137.3174
70,0.0307,0.0363,1.0786,6.7682,147.7498
80,0.0303,0.0585,0.7622,6.0547,165.1609
90,0.0295,0.0482,0.7405,7.6133,131.3491
100,0.0324,0.0369,0.6855,6.5193,153.3907
110,0.6685,0.0421,0.8699,7.1262,140.3272
120,0.0532,0.0453,0.7226,6.6075,151.3432
130,0.0297,0.0369,1.3419,8.4816,117.9023
140,0.6391,0.0348,0.9069,8.6720,115.3137
150,0.0306,0.0365,0.8531,6.4284,155.5597
160,0.0307,0.5532,0.7439,6.8963,145.0053
170,0.0307,0.0492,0.8040,5.7385,174.2616
180,0.0311,0.0368,0.7584,7.0216,142.4177
190,0.0307,0.0464,0.5431,6.8557,145.8640
200,0.0307,0.0365,0.5231,10.9224,91.5550
210,0.0296,0.0417,0.7382,6.4838,154.2305
220,0.5554,0.0348,0.7352,5.4746,182.6618
230,0.0308,0.0357,0.5292,5.0965,196.2131
240,0.0304,0.0443,0.5972,7.4072,135.0038
250,0.0308,0.0368,0.8450,7.2236,138.4351
260,0.0307,0.0433,0.6546,5.7710,173.2802
270,0.0309,0.0363,0.5656,7.2417,138.0891
280,0.5857,0.0369,1.1728,6.8797,145.3552
290,0.0307,0.0400,0.4297,6.5548,152.5600
300,0.0305,0.5789,0.6749,6.7388,148.3944
310,0.0307,0.0463,0.8066,6.6231,150.9867
320,0.0307,0.0488,0.7403,6.9267,144.3689
330,0.0310,0.0368,0.5178,6.5331,153.0667
340,0.0303,0.0369,0.5576,6.8735,145.4863
350,0.0307,0.0444,0.6248,7.1455,139.9482
360,0.0303,0.0430,0.6126,6.7925,147.2212
370,0.0309,0.0451,0.6496,6.7897,147.2819
380,0.0323,0.0351,0.6115,7.4082,134.9856
390,0.0307,0.0462,0.7670,7.1774,139.3262
400,0.0306,0.0369,0.6799,6.9656,143.5627
410,0.0305,0.0421,0.5266,7.0458,141.9285
420,0.0440,0.0469,0.6570,8.4507,118.3334
430,0.0307,0.0365,0.5115,6.0938,164.1012
440,0.0320,0.0355,0.4822,7.3866,135.3803
450,0.0305,0.0470,0.5831,6.7289,148.6127
460,0.0303,0.0615,0.5908,7.0012,142.8327
470,0.0307,0.0352,1.0170,7.5615,132.2489
480,0.0294,0.0439,0.5680,5.1209,195.2782
490,0.0324,0.0364,0.6704,7.6087,131.4285
500,0.0309,0.0362,0.4258,7.2622,137.6993
510,0.0309,0.0469,0.5907,6.4202,155.7584
520,0.0299,0.5806,0.5385,6.5981,151.5588
530,0.0307,0.0369,0.4605,6.9066,144.7890
540,0.0296,0.0410,0.5681,5.8290,171.5560
550,0.0311,0.0365,0.5068,6.8264,146.4901
560,0.0303,0.0386,0.8682,7.7261,129.4314
570,0.0307,0.0410,0.5533,7.6875,130.0813
580,0.0295,0.0425,0.9125,7.1034,140.7776
590,0.0316,0.0365,0.7088,7.2792,137.3777
600,0.0297,0.0349,1.3693,6.2333,160.4287
610,0.0307,0.0356,0.7597,6.9575,143.7298
620,0.0308,0.0430,0.5475,6.8342,146.3229
630,0.5652,0.0369,0.7527,8.7757,113.9510
640,0.0307,0.0469,1.2928,7.0066,142.7226
650,0.0307,0.5652,0.5324,7.0727,141.3887
